Test,cv2.TM_CCOEFF,cv2.TM_CCOEFF_NORMED,cv2.TM_CCORR,cv2.TM_CCORR_NORMED,cv2.TM_SQDIFF,cv2.TM_SQDIFF_NORMED
cone_1,0.9706281624089843,0.9706281624089843,0.014115827129459538,0.9706281624089843,0.0,0.0
cone_2,0.0,0.03968901679481122,0.01209587097737624,0.03968901679481122,0.0,0.0
cone_3,0.23019398990038356,0.8515943418844402,0.23019398990038356,0.8515943418844402,0.0,0.0
cone_4,0.0,0.5092608771623275,0.0,0.5092608771623275,0.0,0.0
cone_5,0.0,0.06329223823580482,0.0,0.0,0.0,0.008742762806054828
cone_6,0.0,0.2543108122763258,0.0,0.2543108122763258,0.0,0.012442326601618637
cone_7,0.0682965865504015,0.0,0.0682965865504015,0.5066225165562914,0.0,0.0
cone_8,0.11595301250473665,0.7025611175785798,0.046179748256233465,0.7025611175785798,0.0,0.0
cone_9,0.0,0.0,0.0,0.0,0.0,0.0
cone_10,0.23221153846153847,0.8242753623188406,0.0,0.8242753623188406,0.0,0.0
cone_11,0.0,0.0,0.0,0.0,0.0,0.0
cone_12,0.020264172614652555,0.0,0.0,0.0,0.0,0.0
cone_13,0.0,0.3853599516031458,0.0,0.3853599516031458,0.0,0.026614268204898737
cone_14,0.0,0.0,0.0,0.0,0.0,0.0
cone_15,0.0,0.0,0.0,0.0,0.0,0.0
cone_16,0.0,0.0,0.0,0.0,0.0,0.0
cone_17,0.026714753222467108,0.0,0.047144661147748,0.0,0.0,0.0
cone_18,0.016152810717261715,0.0,0.022632612966601177,0.0,0.0,0.0
cone_19,0.025475543478260868,0.8928355196770938,0.05757104250266153,0.8928355196770938,0.0,0.0
cone_20,0.030768223626067886,0.0,0.02929078898167768,0.0,0.0,0.0
localization_1,0.17147568013190437,0.6035714285714285,0.255659121171771,0.6035714285714285,0.13432835820895522,0.0
localization_2,0.0,0.481651376146789,0.0,0.481651376146789,0.0,0.0
localization_3,0.905727923627685,0.905727923627685,0.905727923627685,0.905727923627685,0.0,0.0
localization_4,0.0,0.8822371012209531,0.0,0.8822371012209531,0.0,0.0
localization_5,0.45098039215686275,0.7962413452027696,0.0,0.7962413452027696,0.0,0.0
localization_6,0.0,0.0,0.0,0.0,0.0,0.0
localization_7,0.027194066749072928,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0
localization_8,0.0,0.0,0.0,0.0,0.0,0.0
localization_9,0.9003831417624522,0.9003831417624522,0.9003831417624522,0.9003831417624522,0.0,0.0
citgo_1,0.14231927710843373,0.6633906633906634,0.12857142857142856,0.0,0.0,0.12857142857142856
citgo_2,0.5311105498021386,0.7730409446403925,0.18121071782997022,0.01440078105931169,0.0,0.17797644574934846
citgo_3,0.8319553534518396,0.8319553534518396,0.7920110192837465,0.8319553534518396,0.0,0.18263473053892215
citgo_4,0.02190694763196328,0.009503695881731784,0.02053966975432944,0.08486991664561758,0.0,0.01807955002008839
citgo_5,0.0,0.011799410029498525,0.03483606557377049,0.0,0.0,0.0
citgo_6,0.23917556906119058,0.7171824973319103,0.31020408163265306,0.0,0.0,0.2451512800620636
citgo_7,0.4616452620617841,0.7719298245614035,0.0945827232796486,0.0,0.6583959899749373,0.007682976142337242
citgo_8,0.4602113215251901,0.8144049894376824,0.21462067652169772,0.0,0.032636225486648816,0.20847206807251203
citgo_9,0.06866066908127896,0.010854474315284614,0.05375312518169661,0.0,0.01674778127683939,0.05375312518169661
citgo_10,0.1086874636167517,0.8476658476658476,0.06208694033324025,0.8476658476658476,0.0,0.16428571428571428
citgo_11,0.1924698795180723,0.872471098265896,0.0,0.0,0.0,0.17387755102040817
citgo_12,0.8386772486772487,0.04361370716510903,0.7142664023071377,0.33146173742981516,0.0,0.4275213729139721
citgo_13,0.0,0.0,0.04653061224489796,0.0,0.0,0.04653061224489796
citgo_14,0.11832671377727343,0.03326047705027083,0.18054564907275322,0.03326047705027083,0.0,0.1438710915020142
